algorithmCode,scenarioCode,caseCount,repetitions,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs
ABLATION_NO_PRIORITY,BASELINE,100,3,2,98,15,0,0,0,0,0,0.9,0,32
ABLATION_NO_WAITING,BASELINE,100,3,2,98,15,0.6667,1,0.3333,0,0,0.9,0,34
ABLATION_THROUGHPUT_ONLY,BASELINE,100,3,2,98,15,2.9167,5.5,0.3333,0,0,0.9,0,33.3333
HYBRID_PRIORITY_CP_SAT,RESOURCE_MODERATE,100,3,2,98,10,0,0,0,0,0,0.9,0,166.6667
ABLATION_NO_PRIORITY,RESOURCE_MODERATE,100,3,2,98,10,0,0,0,0,0,0.9,0,171
ABLATION_NO_WAITING,RESOURCE_MODERATE,100,3,2,98,10,2,3.3333,0.6667,0,0,0.9,0,161.3333
ABLATION_THROUGHPUT_ONLY,RESOURCE_MODERATE,100,3,2,98,10,3.1667,5.6667,0.6667,0,0,0.9,0,169
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,100,3,2,98,21.43,0,0,0,0,0,0.9,0,29.6667
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,100,3,2,98,21.43,0,0,0,0,0,0.9,0,31.6667
ABLATION_NO_WAITING,RESOURCE_TIGHT,100,3,2,98,21.43,1.25,2.1667,0.6667,0,0,0.9,0,35.6667
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,100,3,2,98,21.43,0.25,0.5,0.3333,0,0,0.9,0,25
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,100,3,7,93,52.5,1.71,4,1.7143,0,0,0.98,0,830.6667
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,100,3,7,93,55,1.71,4,1.7143,0,0,0.9671,0,812.6667
ABLATION_NO_WAITING,EMERGENCY_SURGE,100,3,7,93,55,1.71,4,1.7143,0,0,0.9671,0,642
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,100,3,7,93,58.3333,1.8533,4,1.8571,0,0,0.9706,0,631.6667
